angle,x,y
121.55,72.77760785776171,163.29906178833602
121.55,70.69299875553935,166.69362430127538
121.55,68.60838965331699,170.08818681421474
121.55,66.52378055109463,173.4827493271541
121.55,64.43917144887227,176.87731184009345
121.55,62.354562346649914,180.2718743530328
121.55,60.269953244427555,183.66643686597217
121.55,58.185344142205196,187.06099937891153
121.55,56.10073503998284,190.4555618918509
121.55,54.01612593776048,193.85012440479025
121.55,51.93151683553812,197.2446869177296
121.55,49.84690773331576,200.63924943066897
121.55,47.7622986310934,204.03381194360833
121.55,45.67768952887104,207.4283744565477
121.55,43.59308042664868,210.82293696948705
121.55,41.508471324426324,214.2174994824264
121.55,39.423862222203965,217.61206199536576
121.55,37.339253119981606,221.00662450830512
121.55,35.25464401775925,224.40118702124448
121.55,33.17003491553689,227.79574953418384
121.55,31.08542581331453,231.1903120471232
121.55,29.00081671109217,234.58487456006256
121.55,26.91620760886981,237.97943707300192
121.55,24.831598506647452,241.37399958594128
121.55,22.746989404425094,244.76856209888064
121.55,20.662380302202735,248.16312461182
121.55,18.577771199980376,251.55768712475935
121.55,16.493162097758017,254.9522496376987
121.55,14.408552995535656,258.3468121506381
121.55,12.323943893313295,261.7413746635774
121.55,10.239334791090934,265.13593717651673
121.55,8.154725688868574,268.53049968945606
121.55,6.070116586646213,271.9250622023954
58.45,3.9855074844238523,275.3196247153347
58.45,6.070116586646213,278.71418722827406
58.45,8.154725688868574,282.1087497412134
58.45,10.239334791090934,285.5033122541527
58.45,12.323943893313295,288.89787476709205
58.45,14.408552995535656,292.2924372800314
58.45,16.493162097758017,295.6869997929707
58.45,18.577771199980376,299.08156230591004
58.45,20.662380302202735,302.47612481884937
58.45,22.746989404425094,305.8706873317887
58.45,24.831598506647452,309.26524984472803
58.45,26.91620760886981,312.65981235766736
58.45,29.00081671109217,316.0543748706067
58.45,31.08542581331453,319.448937383546
58.45,33.17003491553689,322.84349989648535
58.45,35.25464401775925,326.2380624094247
58.45,37.339253119981606,329.632624922364
58.45,39.423862222203965,333.02718743530335
58.45,41.508471324426324,336.4217499482427
58.45,43.59308042664868,339.816312461182
58.45,45.67768952887104,343.21087497412134
58.45,47.7622986310934,346.60543748706067
58.45,49.84690773331576,350.0
58.45,51.93151683553812,353.39456251293933
58.45,54.01612593776048,356.78912502587866
58.45,56.10073503998284,360.183687538818
58.45,58.185344142205196,363.5782500517573
58.45,60.269953244427555,366.97281256469665
58.45,62.354562346649914,370.367375077636
58.45,64.43917144887227,373.7619375905753
58.45,66.52378055109463,377.15650010351465
58.45,68.60838965331699,380.551062616454
58.45,70.69299875553935,383.9456251293933
58.45,72.77760785776171,387.34018764233264
58.45,74.86221695998407,390.73475015527197
58.45,76.94682606220643,394.1293126682113
58.45,79.03143516442879,397.52387518115063
-58.45,79.03143516442879,397.52387518115063
-58.45,81.11604426665114,394.1293126682113
-58.45,83.2006533688735,390.73475015527197
-58.45,85.28526247109586,387.34018764233264
-58.45,87.36987157331822,383.9456251293933
-58.45,89.45448067554058,380.551062616454
-58.45,91.53908977776294,377.15650010351465
-58.45,93.6236988799853,373.7619375905753
-58.45,95.70830798220766,370.367375077636
-58.45,97.79291708443002,366.97281256469665
-58.45,99.87752618665237,363.5782500517573
-58.45,101.96213528887473,360.183687538818
-58.45,104.04674439109709,356.78912502587866
-58.45,106.13135349331945,353.39456251293933
-58.45,108.21596259554181,350.0
-58.45,110.30057169776417,346.60543748706067
-58.45,112.38518079998653,343.21087497412134
-58.45,114.46978990220889,339.816312461182
-58.45,116.55439900443125,336.4217499482427
-58.45,118.6390081066536,333.02718743530335
-58.45,120.72361720887596,329.632624922364
-58.45,122.80822631109832,326.2380624094247
-58.45,124.89283541332068,322.84349989648535
-58.45,126.97744451554304,319.448937383546
-58.45,129.0620536177654,316.0543748706067
-58.45,131.14666271998777,312.65981235766736
