angle,x,y
-71.56505117707799,342.0,272.0
-71.56505117707799,343.0,269.0
-71.56505117707799,344.0,266.0
-71.56505117707799,345.0,263.0
-71.56505117707799,346.0,260.0
-71.56505117707799,347.0,257.0
-71.56505117707799,348.0,254.0
-71.56505117707799,349.0,251.0
-71.56505117707799,350.0,248.0
-71.56505117707799,351.0,245.0
-71.56505117707799,352.0,242.0
-71.56505117707799,353.0,239.0
-71.56505117707799,354.0,236.0
-71.56505117707799,355.0,233.0
-71.56505117707799,356.0,230.0
-71.56505117707799,357.0,227.0
-71.56505117707799,358.0,224.0
-71.56505117707799,359.0,221.0
-71.56505117707799,360.0,218.0
-71.56505117707799,361.0,215.0
-71.56505117707799,362.0,212.0
-71.56505117707799,363.0,209.0
-71.56505117707799,364.0,206.0
-71.56505117707799,365.0,203.0
-71.56505117707799,366.0,200.0
-71.56505117707799,367.0,197.0
-71.56505117707799,368.0,194.0
-71.56505117707799,369.0,191.0
-71.56505117707799,370.0,188.0
-71.56505117707799,371.0,185.0
-71.56505117707799,372.0,182.0
-71.56505117707799,373.0,179.0
-71.56505117707799,374.0,176.0
-71.56505117707799,375.0,173.0
-71.56505117707799,376.0,170.0
-71.56505117707799,377.0,167.0
-71.56505117707799,378.0,164.0
-71.56505117707799,379.0,161.0
-71.56505117707799,380.0,158.0
-71.56505117707799,381.0,155.0
-71.56505117707799,382.0,152.0
-71.56505117707799,383.0,149.0
-71.56505117707799,384.0,146.0
-71.56505117707799,385.0,143.0
-71.56505117707799,386.0,140.0
-71.56505117707799,387.0,137.0
-71.56505117707799,388.0,134.0
-71.56505117707799,389.0,131.0
-71.56505117707799,390.0,128.0
-71.56505117707799,391.0,125.0
-71.56505117707799,392.0,122.0
-71.56505117707799,393.0,119.0
-71.56505117707799,394.0,116.0
-71.56505117707799,395.0,113.0
-71.56505117707799,396.0,110.0
-71.56505117707799,397.0,107.0
-71.56505117707799,398.0,104.0
-71.56505117707799,399.0,101.0
-71.56505117707799,400.0,98.0
-71.56505117707799,401.0,95.0
-71.56505117707799,402.0,92.0
-71.56505117707799,403.0,89.0
-71.56505117707799,404.0,86.0
-71.56505117707799,405.0,83.0
-71.56505117707799,406.0,80.0
-71.56505117707799,407.0,77.0
-71.56505117707799,408.0,74.0
-71.56505117707799,409.0,71.0
71.56505117707799,410.0,74.0
71.56505117707799,411.0,77.0
71.56505117707799,412.0,80.0
71.56505117707799,413.0,83.0
71.56505117707799,414.0,86.0
71.56505117707799,415.0,89.0
71.56505117707799,416.0,92.0
71.56505117707799,417.0,95.0
71.56505117707799,418.0,98.0
71.56505117707799,419.0,101.0
71.56505117707799,420.0,104.0
71.56505117707799,421.0,107.0
71.56505117707799,422.0,110.0
71.56505117707799,423.0,113.0
71.56505117707799,424.0,116.0
71.56505117707799,425.0,119.0
71.56505117707799,426.0,122.0
71.56505117707799,427.0,125.0
71.56505117707799,428.0,128.0
71.56505117707799,429.0,131.0
71.56505117707799,430.0,134.0
71.56505117707799,431.0,137.0
71.56505117707799,432.0,140.0
71.56505117707799,433.0,143.0
71.56505117707799,434.0,146.0
71.56505117707799,435.0,149.0
71.56505117707799,436.0,152.0
71.56505117707799,437.0,155.0
71.56505117707799,438.0,158.0
71.56505117707799,439.0,161.0
71.56505117707799,440.0,164.0
71.56505117707799,441.0,167.0
71.56505117707799,442.0,170.0
71.56505117707799,443.0,173.0
71.56505117707799,444.0,176.0
71.56505117707799,445.0,179.0
71.56505117707799,446.0,182.0
71.56505117707799,447.0,185.0
71.56505117707799,448.0,188.0
71.56505117707799,449.0,191.0
